DATE-OBS,Target Flux,Target Flux Error,Rescaled Ref Fluxes,r,r error,TrES Norm,TrES Norm error
2460220.6709991205,50236.41,276.9583,15094.125202733332,3.3282094407765284,0.026641949485769884,0.9859220652118208,0.007892197388921154
2460220.6714012153,51467.45,277.1863,15530.046104990395,3.314056484575506,0.025850321994561033,0.9817295070045138,0.0076576920115104755
2460220.671803067,50434.7,276.505,15119.030044268964,3.3358423028676913,0.02658276010906596,0.9881831630454477,0.007874663602794728
2460220.672205139,51033.07,276.8255,15369.771649277365,3.3203531688383543,0.02611065830697856,0.9835947862373513,0.007734811952234047
2460220.6726074535,51169.72,277.3563,15395.954901482717,3.323582092012498,0.026138758275156274,0.984551296535429,0.00774313606138377
2460220.6730096065,51492.0,277.6734,15291.595233929882,3.367339980706954,0.02652588691044885,0.9975137824482391,0.00785781594268392
2460220.6734136343,51313.21,278.0057,15130.462752002715,3.3913840469425183,0.02693526692777288,1.0046364037438287,0.007979087394892283
2460220.673819109,51233.29,277.233,15140.925253474961,3.3837621639563644,0.026820538956822983,1.0023785582721931,0.007945101301147506
2460220.6742210416,51090.7,276.9248,15117.672924447137,3.3795346846921164,0.02681506005956437,1.0011262437285882,0.007943478276576361
2460220.674630428,51199.89,277.2481,15301.110847925649,3.3461550935003586,0.026384416799845392,0.9912381414113177,0.007815907972018659
2460220.675036007,51898.64,277.4471,14802.05114561502,3.5061789403000763,0.0279859638546284,1.0386423220457872,0.00829033742361506
2460220.6754415855,51161.86,278.0809,15234.269202110561,3.358340286707814,0.026632782340541693,0.9948477852951764,0.007889481787359322
2460220.6758554396,51622.11,278.4214,15291.645138070273,3.375837559261753,0.026638216449216604,1.0000310369501348,0.007891091544119735
2460220.676260243,51252.62,278.104,15253.101271345105,3.3601442151495173,0.02660162438785818,0.9953821665852923,0.007880251805411333
2460220.6766644097,51657.2,278.1575,15235.093910781268,3.390671583812441,0.02677568744631006,1.0044253493816881,0.007931814849480434
2460220.6770665045,51341.93,278.6673,15012.909641408483,3.4198520624136117,0.027338287921060418,1.0130695402711962,0.008098475100833369
2460220.677468426,51626.33,278.9922,15194.94066438202,3.397599973589607,0.026951604470395345,1.0064777599884265,0.007983927097455915
2460220.6778705902,51403.21,277.9978,15198.997498459023,3.3820131890416856,0.026783966070766222,1.0018604559740754,0.00793426724277664
2460220.6782727083,51519.47,278.3115,15215.76695787184,3.3859265946069534,0.026801697320817348,1.0030197318446528,0.007939519806048354
2460220.678686748,51270.09,279.5403,15228.969369185472,3.3666158724923747,0.026814443078289004,0.9972992784396847,0.007943295506992888
2460220.6790908216,51385.68,278.8346,15437.671566162808,3.328590051924031,0.02622849567250136,0.9860348144048227,0.007769719148082953
2460220.6795015507,51364.91,279.2308,15171.22140643174,3.385680600391488,0.026968549150928754,1.0029468604916751,0.007988946653683708
2460220.679904919,51431.94,279.6293,15088.50183798507,3.4086843446922535,0.02724429716550526,1.0097613051629588,0.008070632033419275
2460220.680310799,50796.6,279.446,15043.802471651508,3.376579830512993,0.027174312262017164,1.0002509214309623,0.008049900267042057
2460220.680723553,51289.9,279.8295,15229.698827999513,3.367755369246337,0.0268371679810929,0.9976368338168206,0.007950027349896058
2460220.6811320023,50461.03,279.0732,15147.640526316802,3.331279872421805,0.02676513944713107,0.9868316252508358,0.007928690194821689
2460220.6815412845,49868.98,279.7343,14822.662553746475,3.364373965822723,0.027555689219036287,0.9966351539928652,0.008162876317311527
2460220.6819502315,50238.57,279.361,14989.331870550564,3.3516217022790302,0.027154925847054645,0.9928575257417448,0.008044157390995036
2460220.6823593285,50050.62,279.6736,14941.88142223359,3.349686601415833,0.027266916313118082,0.9922842869857753,0.00807733254825303
2460220.6827716553,49967.59,280.3104,15036.440589770782,3.323099619333628,0.02704053473329277,0.9844083726995273,0.008010271085121307
2460220.683184016,50293.47,279.8127,15045.468177805662,3.342765369986324,0.02706551814461818,0.9902339969105214,0.00801767197047071
2460220.683591227,50629.39,279.7893,14803.235362421148,3.4201570643486203,0.02784320072864802,1.0131598915976403,0.008248046420447352
2460220.683999502,50242.48,279.7383,14836.490591588905,3.386412689027919,0.0276309339562864,1.0031637285563786,0.008185166214647027
2460220.6844116785,49787.2,280.5878,15317.40977313279,3.250366787688104,0.026270533197022515,0.9628625821293498,0.007782172007114149
2460220.684823102,49380.95,280.2282,15574.071270353777,3.1707155529716715,0.02548474712918687,0.9392673393341806,0.00754939704610255
2460220.685236169,50620.4,281.1936,14751.743328558847,3.4314859520366463,0.028130710122890132,1.0165158704038675,0.008333215896943053
2460220.685646169,50438.2,280.177,14757.121713902989,3.4178887304616543,0.027955786205097782,1.0124879385639676,0.008281397838808905
2460220.686056771,50312.03,280.818,14851.192791048756,3.3877433757593205,0.027703256385016976,1.0035579205186689,0.00820659043075001
2460220.6864675693,50628.29,280.4412,14753.378206559531,3.431640488785819,0.028044451022170003,1.0165616491307194,0.008307663192932496
2460220.6868694443,49547.12,280.6451,15000.505360083851,3.3030300520303966,0.02705604107720261,0.978463125083472,0.008014864560046343
2460220.687271655,50280.18,280.2189,14911.083159623478,3.3720005087323,0.027469964652907384,0.9988943798828328,0.008137481959540137
2460220.687673889,49509.11,279.723,14894.385113771057,3.324011674320469,0.027242194461862268,0.984678552552152,0.00807000914536036
2460220.6880760994,49784.89,280.6693,14875.160736696082,3.346847195888366,0.02747337919375172,0.9914431642705651,0.008138493455727772
2460220.6884783334,50072.1,280.6961,14827.251598572742,3.377031789547558,0.02769102897097488,1.0003848061496612,0.0082029682797048
2460220.688880347,50466.28,280.934,14084.075332857226,3.583215710460272,0.03014147826088842,1.0614630768345448,0.008928869719382442
2460220.689288808,49613.92,280.5192,14023.29991474289,3.537963268391642,0.030024899767910423,1.0480578564197585,0.008894335441837297
2460220.6896990854,50216.92,280.8027,14799.15482671957,3.3932289098925015,0.02782299090767,1.0051829111442931,0.008242059625207819
2460220.6901088543,50259.3,280.4146,14777.330063586562,3.4011083046622916,0.02786516594610535,1.0075170398409048,0.008254553220257796
2460220.690515278,50474.12,280.2841,14745.787701740888,3.422951762288089,0.028018635286572034,1.0139877704956344,0.008300015746517652
2460220.6909257523,49415.61,281.8647,14761.389172865229,3.3476259870471448,0.027809611552667167,0.9916738671158322,0.00823809623241349
2460220.6913350234,50153.01,281.0341,14711.659744957866,3.4090653855143005,0.028086169651997513,1.0098741816393006,0.00832002158515788
2460220.6917448263,48989.96,280.567,14734.886965879074,3.324759810743298,0.027628705693402117,0.9849001744843594,0.008184506131925732
2460220.6921495833,49185.46,281.6629,14534.241724830359,3.384109121838214,0.028375209178601445,1.0024813382917508,0.008405644335789436
2460220.69255125,48673.54,282.2667,14694.339368279183,3.312400699351756,0.02782592398129919,0.9812390104728514,0.00824292849541006
2460220.692953067,49243.32,282.1646,14737.383877588714,3.341388160139114,0.027856673499038555,0.9898260233136211,0.00825203748586674
2460220.6933631017,50261.12,281.9652,14576.92386388616,3.447992214908952,0.02862176045640333,1.0214055533008055,0.008478680708444618
2460220.693773889,49930.22,282.1508,14631.8992162253,3.4124223562606573,0.028369867040607906,1.010868623722949,0.008404061823685869
2460220.6941846414,49707.48,283.4663,14730.680457590479,3.3744184556244687,0.028147924321948868,0.9996106530729428,0.00833831529317666
2460220.694595162,49668.51,282.3198,14489.405847089378,3.427919027471881,0.028728707564163413,1.015459233285343,0.008510361861697596
2460220.6950049074,49242.32,283.0008,14722.569773115787,3.3446823998021835,0.027986327126103428,0.9908018824443969,0.00829044503624259
2460220.695412581,49253.11,282.8667,14450.060424613524,3.4085054700605038,0.02877612490569066,1.0097083167770153,0.008524408394560772
2460220.695822523,48969.96,283.3241,15110.904026432825,3.2407035286796244,0.026848095728445622,0.960000015801164,0.007953264498107378
2460220.6962318174,48571.09,284.8018,14744.084183428302,3.2942764973216683,0.0278975469572054,0.975870042259225,0.008264145511219496
2460220.6966428123,48592.15,283.8672,14585.393769049324,3.3315624363268213,0.028271514509856085,0.986915329715277,0.0083749266589785
2460220.697054167,48715.0,284.8406,14490.116734472002,3.3619466904712345,0.028688708780583914,0.9959161174148009,0.008498512942927791
2460220.6974611226,49176.4,284.3276,14448.733004585149,3.4035094969499684,0.02890252611256812,1.0082283497813889,0.00856185247407183
2460220.6978703355,48840.57,283.9439,14244.412665565593,3.428752813239332,0.02939921272214921,1.0157062272923059,0.008708986930780477
2460220.698279896,49211.14,284.3907,14468.516719508621,3.4012567393066746,0.028864248015451885,1.0075610109291862,0.00855051327765623
2460220.698690903,48534.56,284.5574,14531.246132700873,3.3400136200830453,0.02847740744309263,0.9894188405942308,0.008435918729808553
